identificatie,postcode,huisnummer,oppervlakte,gebruiksdoel,status,pand_identificatie
0361010000002342,1817HL,62,131,woonfunctie,Verblijfsobject in gebruik,0361100000027219
0361010000005240,1827DD,16,80,woonfunctie,Verblijfsobject in gebruik,0361100000042173
0361010000003197,1831AB,14,106,woonfunctie,Verblijfsobject in gebruik,0361100000047864
0361010000005685,1829XE,37,138,woonfunctie,Verblijfsobject in gebruik,0361100000012694
0361010000002343,1817HL,64,131,woonfunctie,Verblijfsobject in gebruik,0361100000027221
0361010000001818,1811DL,10,35,woonfunctie,Verblijfsobject in gebruik,0361100000105098
0361010000003708,1825PX,21,68,woonfunctie,Verblijfsobject in gebruik,0361100000103802
0361010000004783,1824EV,108,137,woonfunctie,Verblijfsobject in gebruik,0361100000102757
0361010000004235,1827JV,70,136,woonfunctie,Verblijfsobject in gebruik,0361100000046988
0361010000005686,1829XG,38,17,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106734
0361010000005241,1827DC,17,77,woonfunctie,Verblijfsobject in gebruik,0361100000041802
0361010000003198,1831AC,15,100,woonfunctie,Verblijfsobject in gebruik,0361100000047978
0361010000002344,1817HL,66,131,woonfunctie,Verblijfsobject in gebruik,0361100000027223
0361010000004784,1824EV,110,137,woonfunctie,Verblijfsobject in gebruik,0361100000025462
0361010000005687,1829XE,39,126,woonfunctie,Verblijfsobject in gebruik,0361100000012696
0361010000003199,1831AB,16,106,woonfunctie,Verblijfsobject in gebruik,0361100000047865
0361010000005242,1827DD,18,80,woonfunctie,Verblijfsobject in gebruik,0361100000042175
0361010000003709,1825PX,22,68,woonfunctie,Verblijfsobject in gebruik,0361100000103802
0361010000005688,1829XG,40,17,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106733
0361010000002798,1816BP,85,140,woonfunctie,Verblijfsobject in gebruik,0361100000024443
0361010000002345,1817HL,68,131,woonfunctie,Verblijfsobject in gebruik,0361100000027225
0361010000005689,1829XG,44,17,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106732
0361010000004785,1824EV,112,137,woonfunctie,Verblijfsobject in gebruik,0361100000025463
0361010000005690,1829XG,46,17,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106731
0361010000005243,1827DC,19,75,woonfunctie,Verblijfsobject in gebruik,0361100000041803
0361010000003200,1831AC,17,100,woonfunctie,Verblijfsobject in gebruik,0361100000047979
0361010000002346,1817HL,70,131,woonfunctie,Verblijfsobject in gebruik,0361100000027730
0361010000004786,1824EV,114,137,woonfunctie,Verblijfsobject in gebruik,0361100000025465
0361010000001819,1811DL,11,121,woonfunctie,Verblijfsobject in gebruik,0361100000105120
0361010000003710,1825PX,23,68,woonfunctie,Verblijfsobject in gebruik,0361100000103802
0361010000002799,1816BP,87,147,woonfunctie,Verblijfsobject in gebruik,0361100000024501
0361010000005691,1829XG,48,142,woonfunctie,Verblijfsobject in gebruik,0361100000010693
0361010000003201,1831AB,18,103,woonfunctie,Verblijfsobject in gebruik,0361100000047866
0361010000004236,1827JV,71,112,woonfunctie,Verblijfsobject in gebruik,0361100000046989
0361010000005244,1827DD,20,80,woonfunctie,Verblijfsobject in gebruik,0361100000042177
0361010000002347,1817HL,72,131,woonfunctie,Verblijfsobject in gebruik,0361100000027732
0361010000004787,1824EW,116,137,woonfunctie,Verblijfsobject in gebruik,0361100000026041
0361010000005692,1829XH,50,125,woonfunctie,Verblijfsobject in gebruik,0361100000010692
0361010000002800,1816BP,89,117,woonfunctie,Verblijfsobject in gebruik,0361100000024502
